gameid,date,patch,gamelength,blue_team,red_team,blue_win,blue_champ1,blue_champ2,blue_champ3,blue_champ4,blue_champ5,red_champ1,red_champ2,red_champ3,red_champ4,red_champ5,blue_kills,red_kills,blue_gold,red_gold,blue_dragons,red_dragons,blue_barons,red_barons,blue_towers,red_towers,blue_ban1,red_ban1,blue_ban2,red_ban2,blue_ban3,red_ban3,blue_ban4,red_ban4,blue_ban5,red_ban5,blue_top,red_top,blue_jng,red_jng,blue_mid,red_mid,blue_bot,red_bot,blue_sup,red_sup
LCK/2023 Season/Summer Playoffs_Round 3_1_2,2023-08-12 06:56:00,13.14,29.683333333333,T1,Gen.G,1,Gragas,Kha'Zix,Azir,Xayah,Alistar,Jax,Vi,Ahri,Zeri,Rakan,7,8,58509,50855,4,1,2,0,9,4,Tristana,Aatrox,Poppy,Nocturne,Maokai,Sejuani,Kai'Sa,Viego,Lulu,Nautilus,Zeus,Doran (Choi Hyeon-joon),Oner,Peanut,Faker,Chovy,Gumayusi,Peyz,Keria,Delight
LCK/2023 Season/Summer Playoffs_Round 3_1_1,2023-08-12 06:05:00,13.14,28.983333333333,Gen.G,T1,1,Jax,Sejuani,Taliyah,Aphelios,Lulu,Ornn,Rell,Azir,Xayah,Alistar,20,9,58684,46690,4,0,1,0,9,2,Nocturne,Tristana,Aatrox,Jayce,Poppy,Maokai,Gragas,Kai'Sa,Braum,Zeri,Doran (Choi Hyeon-joon),Zeus,Peanut,Oner,Chovy,Faker,Peyz,Gumayusi,Delight,Keria
LCK/2023 Season/Summer Playoffs_Round 2_2_3,2023-08-11 09:47:00,13.14,31.983333333333,Hanwha Life Esports,Gen.G,0,Aatrox,Sejuani,Yone,Zeri,Rakan,K'Sante,Poppy,Azir,Kai'Sa,Maokai,9,18,54522,65360,0,5,1,1,6,9,Vi,Rell,Tristana,Renekton,Jax,LeBlanc,Alistar,Sivir,Xayah,Nautilus,Kingen,Doran (Choi Hyeon-joon),Grizzly,Peanut,Zeka (Kim Geon-woo),Chovy,Viper (Park Do-hyeon),Peyz,Life,Delight
LCK/2023 Season/Summer Playoffs_Round 2_2_2,2023-08-11 08:56:00,13.14,30.1,Gen.G,Hanwha Life Esports,1,Rumble,Maokai,Jayce,Xayah,Leona,Aatrox,Sejuani,Azir,Kai'Sa,Blitzcrank,7,11,56189,55128,0,4,1,1,6,5,Renekton,Vi,Rell,Tristana,LeBlanc,Jax,Braum,Alistar,Nautilus,Rakan,Doran (Choi Hyeon-joon),Kingen,Peanut,Grizzly,Chovy,Zeka (Kim Geon-woo),Peyz,Viper (Park Do-hyeon),Delight,Life
LCK/2023 Season/Summer Playoffs_Round 2_2_1,2023-08-11 08:06:00,13.14,28.5,Gen.G,Hanwha Life Esports,1,Aatrox,Maokai,Azir,Sivir,Alistar,Ornn,Sejuani,Yone,Kai'Sa,Rakan,10,3,57336,44067,4,0,1,0,10,1,Rell,Vi,Renekton,Tristana,LeBlanc,Jax,Rumble,Xayah,Nautilus,Zeri,Doran (Choi Hyeon-joon),Kingen,Peanut,Grizzly,Chovy,Zeka (Kim Geon-woo),Peyz,Viper (Park Do-hyeon),Delight,Life
LCK/2023 Season/Summer Playoffs_Round 2_1_5,2023-08-10 11:28:00,13.14,37.916666666667,T1,KT Rolster,1,Jax,Sejuani,Azir,Kai'Sa,Rell,Renekton,Maokai,Tristana,Draven,Leona,17,10,74580,65999,4,2,1,0,11,2,Alistar,Nocturne,Zeri,Xayah,Nautilus,Annie,Lulu,Rumble,Rakan,Aatrox,Zeus,Kiin,Oner,Cuzz,Faker,Bdd,Gumayusi,Aiming,Keria,Lehends
LCK/2023 Season/Summer Playoffs_Round 2_1_4,2023-08-10 10:34:00,13.14,30.9,KT Rolster,T1,1,Renekton,Rell,Tristana,Varus,Nautilus,Aatrox,Viego,Neeko,Samira,Alistar,24,7,62438,50092,3,2,1,0,10,3,Poppy,Zeri,Nocturne,Kai'Sa,Maokai,Xayah,Draven,Jax,Vi,K'Sante,Kiin,Zeus,Cuzz,Oner,Bdd,Faker,Aiming,Gumayusi,Lehends,Keria
LCK/2023 Season/Summer Playoffs_Round 2_1_3,2023-08-10 09:40:00,13.14,32.183333333333,KT Rolster,T1,0,Jax,Nocturne,Neeko,Ezreal,Galio,K'Sante,Maokai,Azir,Lucian,Alistar,6,20,51209,63161,1,4,0,2,1,11,Xayah,Zeri,Poppy,Kai'Sa,Aatrox,Nautilus,Sivir,Leona,Tristana,Rakan,Kiin,Zeus,Cuzz,Oner,Bdd,Faker,Aiming,Gumayusi,Lehends,Keria
LCK/2023 Season/Summer Playoffs_Round 2_1_2,2023-08-10 08:52:00,13.14,26.116666666667,T1,KT Rolster,1,Rumble,Nocturne,Neeko,Draven,Nautilus,Renekton,Sejuani,Azir,Varus,Leona,19,7,54462,42773,4,0,1,0,8,3,Alistar,Xayah,Rell,Poppy,Zeri,Kai'Sa,Rakan,Aatrox,Ezreal,Gnar,Zeus,Kiin,Oner,Cuzz,Faker,Bdd,Gumayusi,Aiming,Keria,Lehends
LCK/2023 Season/Summer Playoffs_Round 2_1_1,2023-08-10 08:06:00,13.14,24.75,KT Rolster,T1,1,Gragas,Rell,Tristana,Zeri,Nautilus,Jax,Sejuani,Azir,Sivir,Rakan,17,4,51135,39128,3,0,1,0,8,1,Poppy,Alistar,Aatrox,Neeko,Xayah,Kai'Sa,Nilah,Renekton,Draven,Lulu,Kiin,Zeus,Cuzz,Oner,Bdd,Faker,Aiming,Gumayusi,Lehends,Keria
LCK/2023 Season/Summer Playoffs_Round 1_2_4,2023-08-09 10:49:00,13.14,35.7,Dplus KIA,T1,0,K'Sante,Sejuani,Jayce,Aphelios,Lulu,Aatrox,Rell,Annie,Xayah,Rakan,3,10,58770,65846,2,2,0,1,4,10,Poppy,Tristana,Vi,LeBlanc,Nocturne,Neeko,Maokai,Jax,Ahri,Azir,Canna,Zeus,Canyon,Oner,ShowMaker,Faker,Deft,Gumayusi,Kellin,Keria
LCK/2023 Season/Summer Playoffs_Round 1_2_3,2023-08-09 09:51:00,13.14,36.083333333333,T1,Dplus KIA,1,Aatrox,Poppy,Corki,Xayah,Maokai,K'Sante,Rell,Azir,Varus,Rakan,15,12,68039,59731,4,2,1,1,8,2,Tristana,Kai'Sa,LeBlanc,Neeko,Sejuani,Vi,Sivir,Alistar,Zeri,Xerath,Zeus,Canna,Oner,Canyon,Faker,ShowMaker,Gumayusi,Deft,Keria,Kellin
LCK/2023 Season/Summer Playoffs_Round 1_2_2,2023-08-09 08:56:00,13.14,32.733333333333,Dplus KIA,T1,1,K'Sante,Sejuani,Azir,Kai'Sa,Rakan,Renekton,Maokai,Jayce,Xayah,Braum,12,2,60560,57151,4,1,0,1,8,4,Poppy,Tristana,Vi,LeBlanc,Nocturne,Neeko,Alistar,Yone,Rell,Jax,Canna,Zeus,Canyon,Oner,ShowMaker,Faker,Deft,Gumayusi,Kellin,Keria
LCK/2023 Season/Summer Playoffs_Round 1_2_1,2023-08-09 08:05:00,13.14,30.466666666667,Dplus KIA,T1,0,Renekton,Sejuani,Azir,Kai'Sa,Rakan,Aatrox,Maokai,Jayce,Xayah,Alistar,6,13,49117,59024,0,4,0,2,2,10,Poppy,Tristana,Vi,LeBlanc,Nocturne,Neeko,Rell,Yone,Gnar,Jax,Canna,Zeus,Canyon,Oner,ShowMaker,Faker,Deft,Gumayusi,Kellin,Keria
LCK/2023 Season/Summer Playoffs_Round 1_1_3,2023-08-08 09:54:00,13.14,43.6,DRX,Hanwha Life Esports,0,K'Sante,Viego,Ahri,Xayah,Alistar,Poppy,Nocturne,Neeko,Kai'Sa,Rell,19,31,74127,83394,3,3,1,2,5,9,Sejuani,LeBlanc,Maokai,Tristana,Azir,Renekton,Rakan,Vi,Aatrox,Jax,Rascal,Kingen,Croco,Grizzly,FATE (Yoo Su-hyeok),Zeka (Kim Geon-woo),Paduck,Viper (Park Do-hyeon),BeryL,Life
LCK/2023 Season/Summer Playoffs_Round 1_1_2,2023-08-08 09:02:00,13.14,30.55,DRX,Hanwha Life Esports,0,Jax,Nocturne,Ahri,Sivir,Alistar,Aatrox,Maokai,Yone,Xayah,Rell,14,24,52574,63066,1,3,0,2,2,8,Sejuani,LeBlanc,Azir,Tristana,Kai'Sa,Renekton,Rakan,Zeri,Viego,Ziggs,Rascal,Kingen,Croco,Grizzly,FATE (Yoo Su-hyeok),Zeka (Kim Geon-woo),Paduck,Viper (Park Do-hyeon),BeryL,Life
LCK/2023 Season/Summer Playoffs_Round 1_1_1,2023-08-08 08:07:00,13.14,33.083333333333,Hanwha Life Esports,DRX,1,Renekton,Maokai,Azir,Sivir,Nautilus,Rumble,Nocturne,Neeko,Xayah,Leona,22,9,65497,55858,3,1,1,0,8,2,LeBlanc,Sejuani,Jax,Kai'Sa,Jayce,Tristana,Rakan,Zeri,Rell,Alistar,Kingen,Rascal,Grizzly,Croco,Zeka (Kim Geon-woo),FATE (Yoo Su-hyeok),Viper (Park Do-hyeon),Paduck,Life,BeryL
LCK CL/2023 Season/Summer Playoffs_Round 1_2_4,2023-08-07 11:53:00,13.14,32.616666666667,DRX Challengers,KT Rolster Challengers,1,K'Sante,Poppy,Azir,Kai'Sa,Nautilus,Gwen,Viego,Syndra,Tristana,Rell,16,8,63949,54452,4,1,2,0,11,1,Jayce,Nocturne,Vi,LeBlanc,Maokai,Sejuani,Neeko,Alistar,Annie,Rakan,Frog (Lee Min-hoi),PerfecT (Lee Seung-min),Sponge,HamBak,SeTab,Feisty,deokdam,Hype (Byeon Jeong-hyeon),Pleata,Way (Han Gil)
LCK CL/2023 Season/Summer Playoffs_Round 1_2_3,2023-08-07 10:55:00,13.14,37.183333333333,KT Rolster Challengers,DRX Challengers,1,Gnar,Vi,Neeko,Kai'Sa,Leona,Renekton,Maokai,Jayce,Xayah,Renata Glasc,24,8,73889,59776,4,1,2,0,11,2,Poppy,Tristana,Nocturne,Sejuani,Rakan,LeBlanc,Rumble,Rell,Alistar,Nautilus,PerfecT (Lee Seung-min),Frog (Lee Min-hoi),HamBak,Sponge,Feisty,SeTab,Hype (Byeon Jeong-hyeon),deokdam,Way (Han Gil),Pleata
LCK CL/2023 Season/Summer Playoffs_Round 1_2_2,2023-08-07 10:02:00,13.14,31.033333333333,KT Rolster Challengers,DRX Challengers,0,K'Sante,Vi,Azir,Xayah,Leona,Renekton,Nocturne,Neeko,Ezreal,Rakan,6,17,51860,59499,0,4,0,1,4,7,Poppy,Tristana,Maokai,Sejuani,LeBlanc,Kai'Sa,Xerath,Rell,Ahri,Nautilus,PerfecT (Lee Seung-min),Frog (Lee Min-hoi),HamBak,Sponge,Feisty,SeTab,Hype (Byeon Jeong-hyeon),deokdam,Way (Han Gil),Pleata
LCK CL/2023 Season/Summer Playoffs_Round 1_2_1,2023-08-07 09:06:00,13.14,30.0,DRX Challengers,KT Rolster Challengers,1,K'Sante,Nocturne,Xerath,Kai'Sa,Rakan,Renekton,Poppy,Azir,Xayah,Alistar,11,2,59062,48040,3,1,1,0,11,2,Jayce,Tristana,Viego,LeBlanc,Annie,Sejuani,Nautilus,Ahri,Rell,Neeko,Frog (Lee Min-hoi),PerfecT (Lee Seung-min),Sponge,HamBak,SeTab,Feisty,deokdam,Hype (Byeon Jeong-hyeon),Pleata,Way (Han Gil)
LCK CL/2023 Season/Summer Playoffs_Round 1_1_3,2023-08-07 06:56:00,13.14,23.4,Hanwha Life Esports Challengers,Gen.G Global Academy,1,Malphite,Vi,Ahri,Aphelios,Rell,K'Sante,Kindred,Swain,Zeri,Rakan,17,2,49007,38623,3,0,1,0,7,1,Xayah,Tristana,Poppy,Sejuani,LeBlanc,Kai'Sa,Neeko,Jax,Nocturne,Renekton,Rooster,Zest (Kim Dong-min),Guwon,Winner (Woo Joo-sung),Roamer,Ophelia,Lure (Shin Jae-yoon),Carfe,Duro,Lospa
LCK CL/2023 Season/Summer Playoffs_Round 1_1_2,2023-08-07 06:04:00,13.14,28.55,Gen.G Global Academy,Hanwha Life Esports Challengers,0,K'Sante,Lee Sin,Azir,Xayah,Rell,Gnar,Vi,Xerath,Zeri,Rakan,3,15,45013,58264,1,3,0,2,1,10,Tristana,LeBlanc,Poppy,Sejuani,Maokai,Kai'Sa,Jax,Neeko,Ahri,Nocturne,Zest (Kim Dong-min),Rooster,Winner (Woo Joo-sung),Guwon,Ophelia,Roamer,Carfe,Lure (Shin Jae-yoon),Lospa,Duro
LCK CL/2023 Season/Summer Playoffs_Round 1_1_1,2023-08-07 05:10:00,13.14,32.233333333333,Hanwha Life Esports Challengers,Gen.G Global Academy,1,Renekton,Maokai,Jayce,Sivir,Rell,K'Sante,Vi,Azir,Zeri,Rakan,15,4,63383,51861,4,1,1,0,9,2,Xayah,Tristana,Poppy,Sejuani,LeBlanc,Kai'Sa,Neeko,Jax,Ahri,Ziggs,Rooster,Zest (Kim Dong-min),Guwon,Winner (Woo Joo-sung),Roamer,Ophelia,Lure (Shin Jae-yoon),Carfe,Duro,Lospa
LCK/2023 Season/Summer Season_Week 9_10_2,2023-08-06 09:44:00,13.14,35.983333333333,Liiv SANDBOX,KT Rolster,0,Jax,Wukong,Yone,Kai'Sa,Rakan,Gragas,Vi,Azir,Zeri,Alistar,11,23,62078,73606,3,2,0,2,2,11,Renekton,LeBlanc,Poppy,Sejuani,Maokai,Tristana,Neeko,Nautilus,Ahri,Rell,Clear (Song Hyeon-min),PerfecT (Lee Seung-min),Willer,HamBak,Clozer,Feisty,Teddy,Hype (Byeon Jeong-hyeon),Kael (Kim Jin-hong),Way (Han Gil)
LCK/2023 Season/Summer Season_Week 9_10_1,2023-08-06 08:51:00,13.14,28.316666666667,KT Rolster,Liiv SANDBOX,1,Gangplank,Viego,Ahri,Tristana,Alistar,Jax,Nocturne,Akali,Kai'Sa,Rell,19,11,58061,44919,1,1,1,0,9,0,LeBlanc,Neeko,Sylas,Renekton,Sejuani,Poppy,Annie,Maokai,Azir,Xayah,Kiin,Clear (Song Hyeon-min),Cuzz,Willer,Bdd,Clozer,Aiming,Teddy,Lehends,Kael (Kim Jin-hong)
LCK/2023 Season/Summer Season_Week 9_9_2,2023-08-06 07:00:00,13.14,30.633333333333,Kwangdong Freecs,DRX,0,K'Sante,Viego,LeBlanc,Zeri,Braum,Renekton,Lee Sin,Annie,Xayah,Rell,2,16,47097,57737,1,2,0,1,2,9,Jayce,Sejuani,Kai'Sa,Tristana,Vi,Poppy,Draven,Alistar,Rakan,Nautilus,DuDu (Lee Dong-ju),Rascal,YoungJae,Croco,BuLLDoG (Lee Tae-young),FATE (Yoo Su-hyeok),Taeyoon,Paduck,Andil,BeryL
LCK/2023 Season/Summer Season_Week 9_9_1,2023-08-06 06:08:00,13.14,28.083333333333,DRX,Kwangdong Freecs,1,Renekton,Zac,Tristana,Xayah,Rell,Aatrox,Maokai,Azir,Zeri,Braum,25,5,61263,42695,3,0,1,0,11,0,Sejuani,Jayce,K'Sante,Vi,Poppy,Kai'Sa,Alistar,Draven,Rakan,LeBlanc,Rascal,DuDu (Lee Dong-ju),Croco,YoungJae,FATE (Yoo Su-hyeok),BuLLDoG (Lee Tae-young),Paduck,Taeyoon,BeryL,Andil
LCK/2023 Season/Summer Season_Week 9_8_2,2023-08-05 09:46:00,13.14,31.816666666667,Gen.G,OKSavingsBank BRION,0,Aatrox,Skarner,Tristana,Kai'Sa,Nautilus,Renekton,Lillia,Jayce,Kog'Maw,Braum,9,19,52512,62569,0,3,0,1,3,9,Azir,Vi,Sejuani,Jax,Poppy,Maokai,Xayah,Rell,Milio,Rakan,Doran (Choi Hyeon-joon),Morgan,Peanut,UmTi,Chovy,Karis,Peyz,Hena,Delight,Effort
LCK/2023 Season/Summer Season_Week 9_8_1,2023-08-05 08:56:00,13.14,28.016666666667,OKSavingsBank BRION,Gen.G,1,Renekton,Maokai,Tristana,Xayah,Leona,K'Sante,Rumble,Jayce,Kai'Sa,Nautilus,12,3,55471,47406,1,3,1,0,8,2,Jax,Azir,Vi,Poppy,Sejuani,Rakan,Rell,Alistar,Ivern,Braum,Morgan,Doran (Choi Hyeon-joon),UmTi,Peanut,Karis,Chovy,Hena,Peyz,Effort,Delight
LCK/2023 Season/Summer Season_Week 9_7_2,2023-08-05 07:02:00,13.14,34.1,Dplus KIA,Hanwha Life Esports,0,Jax,Vi,Annie,Varus,Alistar,Renekton,Maokai,Jayce,Xayah,Rell,10,18,57694,68045,2,3,0,2,3,10,Azir,Neeko,Sejuani,Tristana,Kai'Sa,LeBlanc,Rakan,Leona,Poppy,Ziggs,Canna,Kingen,Canyon,Grizzly,ShowMaker,Zeka (Kim Geon-woo),Deft,Viper (Park Do-hyeon),Bible,Life
LCK/2023 Season/Summer Season_Week 9_7_1,2023-08-05 06:08:00,13.14,31.65,Dplus KIA,Hanwha Life Esports,0,Renekton,Maokai,Jayce,Aphelios,Nautilus,Aatrox,Sejuani,Ahri,Kai'Sa,Alistar,5,18,50798,65161,1,4,0,2,3,10,Azir,Neeko,Yone,Tristana,Jax,LeBlanc,Sylas,Xayah,Rell,Ashe,Canna,Kingen,Canyon,Grizzly,ShowMaker,Zeka (Kim Geon-woo),Deft,Viper (Park Do-hyeon),Bible,Life
LCK/2023 Season/Summer Season_Week 9_6_3,2023-08-04 13:53:00,13.14,28.583333333333,Nongshim RedForce,KT Rolster,0,K'Sante,Vi,Ahri,Zeri,Rell,Malphite,Viego,Neeko,Tristana,Nautilus,14,18,50090,56325,2,2,0,1,1,8,Jax,Xayah,Renekton,Seraphine,Kai'Sa,Poppy,Fiora,Alistar,Samira,Nocturne,DnDn,Kiin,Sylvie,Cuzz,FIESTA (An Hyeon-seo),Bdd,Jiwoo,Aiming,Peter (Jeong Yoon-su),Lehends
LCK/2023 Season/Summer Season_Week 9_6_2,2023-08-04 13:03:00,13.14,27.8,KT Rolster,Nongshim RedForce,1,Fiora,Viego,Annie,Kai'Sa,Nautilus,K'Sante,Maokai,Azir,Nilah,Rakan,18,6,58016,43252,3,1,1,0,11,0,Poppy,Jax,Seraphine,Neeko,Xayah,Renekton,Sejuani,Alistar,Rell,None,Kiin,DnDn,Cuzz,Sylvie,Bdd,FIESTA (An Hyeon-seo),Aiming,Jiwoo,Lehends,Peter (Jeong Yoon-su)
LCK/2023 Season/Summer Season_Week 9_6_1,2023-08-04 12:06:00,13.14,33.3,Nongshim RedForce,KT Rolster,1,K'Sante,Wukong,Seraphine,Xayah,Rakan,Aatrox,Sejuani,Azir,Aphelios,Lulu,13,9,64959,59874,2,3,2,0,10,4,Jax,Vi,Renekton,Poppy,Neeko,Annie,Zeri,Nocturne,Nautilus,Tristana,DnDn,Kiin,Sylvie,Cuzz,FIESTA (An Hyeon-seo),Bdd,Jiwoo,Aiming,Peter (Jeong Yoon-su),Lehends
LCK/2023 Season/Summer Season_Week 9_5_3,2023-08-04 10:24:00,13.14,31.75,T1,Liiv SANDBOX,1,Maokai,Lee Sin,Xerath,Xayah,Rakan,Jax,Sejuani,Azir,Ezreal,Leona,21,4,66690,50980,4,1,2,0,11,2,LeBlanc,Poppy,Rell,Aatrox,Yone,Neeko,Kai'Sa,Jayce,Zeri,Tristana,Zeus,Clear (Song Hyeon-min),Oner,Willer,Faker,Clozer,Gumayusi,Teddy,Keria,Kael (Kim Jin-hong)
LCK/2023 Season/Summer Season_Week 9_5_2,2023-08-04 09:00:00,13.14,40.8,Liiv SANDBOX,T1,1,K'Sante,Nocturne,Ahri,Kai'Sa,Rell,Gnar,Sejuani,Tristana,Zeri,Rakan,27,12,83100,72800,3,3,1,0,9,3,Poppy,LeBlanc,Aatrox,Maokai,Xayah,Jax,Gwen,Alistar,Renekton,Azir,Clear (Song Hyeon-min),Zeus,Willer,Oner,Clozer,Faker,Teddy,Gumayusi,Kael (Kim Jin-hong),Keria
LCK/2023 Season/Summer Season_Week 9_5_1,2023-08-04 08:06:00,13.14,28.016666666667,T1,Liiv SANDBOX,1,K'Sante,Maokai,Azir,Xayah,Braum,Gwen,Sejuani,Tristana,Kai'Sa,Leona,12,5,55566,45202,2,2,2,0,10,2,LeBlanc,Poppy,Jax,Aatrox,Yone,Neeko,Rell,Rakan,Alistar,Nautilus,Zeus,Clear (Song Hyeon-min),Oner,Willer,Faker,Clozer,Gumayusi,Teddy,Keria,Kael (Kim Jin-hong)
LCK CL/2023 Season/Summer Season_Week 9_9_3,2023-08-04 07:26:00,13.14,29.033333333333,DRX Challengers,Liiv SANDBOX Youth,1,Renekton,Maokai,Yone,Xayah,Rakan,Aatrox,Lee Sin,Azir,Kai'Sa,Rell,17,4,59049,44423,3,1,1,0,11,0,Jayce,Tristana,Annie,LeBlanc,Nocturne,Sejuani,Nautilus,Kennen,Viego,Rumble,Frog (Lee Min-hoi),DDahyuk,Sponge,Vincenzo (Ha Seung-min),SeTab,Guti (Moon Jeong-hwan),deokdam,Diable,Pleata,PlanB
LCK CL/2023 Season/Summer Season_Week 9_9_2,2023-08-04 06:36:00,13.14,29.616666666667,Liiv SANDBOX Youth,DRX Challengers,1,Aatrox,Ivern,Tristana,Ezreal,Leona,Renekton,Nocturne,Jayce,Samira,Maokai,13,9,57129,51895,2,2,1,0,8,2,Poppy,LeBlanc,Xayah,Sejuani,Rell,Kai'Sa,Varus,Ashe,Ziggs,Nautilus,DDahyuk,Frog (Lee Min-hoi),Vincenzo (Ha Seung-min),Sponge,Guti (Moon Jeong-hwan),SeTab,Diable,deokdam,PlanB,Pleata
LCK CL/2023 Season/Summer Season_Week 9_10_2,2023-08-04 06:19:00,13.14,43.866666666667,KT Rolster Challengers,T1 Esports Academy,1,K'Sante,Maokai,Azir,Varus,Renata Glasc,Renekton,Vi,Neeko,Sivir,Rakan,22,14,86322,79790,5,2,2,1,10,6,Poppy,Kai'Sa,Rumble,Sejuani,LeBlanc,Tristana,Zeri,Xayah,Rell,Alistar,PerfecT (Lee Seung-min),Dal,HamBak,Forest (Lee Hyeon-seo),Feisty,Poby,Hype (Byeon Jeong-hyeon),Smash (Sin Geum-jae),Way (Han Gil),Baut
LCK CL/2023 Season/Summer Season_Week 9_9_1,2023-08-04 05:37:00,13.14,36.016666666667,DRX Challengers,Liiv SANDBOX Youth,1,Renekton,Maokai,Yone,Xayah,Rakan,Rumble,Poppy,Azir,Kai'Sa,Nautilus,16,4,71592,59577,4,1,2,1,11,1,Jayce,Tristana,Annie,Sejuani,Nocturne,LeBlanc,Viego,Jax,Rell,K'Sante,Frog (Lee Min-hoi),DDahyuk,Sponge,Vincenzo (Ha Seung-min),SeTab,Guti (Moon Jeong-hwan),deokdam,Diable,Pleata,PlanB
LCK CL/2023 Season/Summer Season_Week 9_10_1,2023-08-04 05:30:00,13.14,25.516666666667,T1 Esports Academy,KT Rolster Challengers,0,Renekton,Neeko,Jayce,Kai'Sa,Blitzcrank,K'Sante,Maokai,Tristana,Zeri,Rakan,5,26,43528,54394,0,3,0,1,2,9,Poppy,LeBlanc,Vi,Sejuani,Rumble,Rell,Xayah,Nautilus,Azir,Alistar,Dal,PerfecT (Lee Seung-min),Forest (Lee Hyeon-seo),HamBak,Poby,Feisty,Smash (Sin Geum-jae),Hype (Byeon Jeong-hyeon),Baut,Way (Han Gil)
LCK/2023 Season/Summer Season_Week 9_4_2,2023-08-03 11:30:00,13.14,26.1,Hanwha Life Esports,Gen.G,0,Aatrox,Viego,Annie,Xayah,Rakan,Jax,Maokai,Jayce,Kai'Sa,Rell,9,20,42459,55970,0,4,0,1,1,10,Poppy,Renekton,Vi,Sejuani,Tristana,Nautilus,LeBlanc,Yone,Azir,Ahri,Kingen,Doran (Choi Hyeon-joon),Grizzly,Peanut,Zeka (Kim Geon-woo),Chovy,Viper (Park Do-hyeon),Peyz,Life,Delight
LCK/2023 Season/Summer Season_Week 9_4_1,2023-08-03 10:38:00,13.14,30.433333333333,Hanwha Life Esports,Gen.G,0,K'Sante,Wukong,Azir,Kai'Sa,Rell,Rumble,Maokai,Tristana,Xayah,Leona,12,24,51393,65489,0,4,0,2,2,11,Poppy,Renekton,Vi,Sejuani,Jax,Aatrox,Rakan,Gnar,Alistar,Nautilus,Kingen,Doran (Choi Hyeon-joon),Grizzly,Peanut,Zeka (Kim Geon-woo),Chovy,Viper (Park Do-hyeon),Peyz,Life,Delight
LCK/2023 Season/Summer Season_Week 9_3_2,2023-08-03 09:02:00,13.14,25.7,OKSavingsBank BRION,DRX,0,K'Sante,Vi,Tristana,Aphelios,Rell,Renekton,Maokai,Jayce,Zeri,Alistar,6,13,42884,52445,0,4,0,1,1,8,Jax,Azir,Kai'Sa,Poppy,Sejuani,Aatrox,Varus,Lillia,Rakan,Skarner,Morgan,Rascal,UmTi,Croco,Karis,FATE (Yoo Su-hyeok),Hena,Paduck,Effort,BeryL
LCK/2023 Season/Summer Season_Week 9_3_1,2023-08-03 08:06:00,13.14,33.166666666667,DRX,OKSavingsBank BRION,1,Jax,Nocturne,Ahri,Kai'Sa,Rakan,Renekton,Sejuani,Annie,Xayah,Maokai,20,7,66788,55334,3,2,0,1,9,1,Azir,LeBlanc,Poppy,Tristana,Vi,Jayce,Zeri,Varus,Alistar,Draven,Rascal,Morgan,Croco,UmTi,FATE (Yoo Su-hyeok),Karis,Paduck,Hena,BeryL,Effort
LCK CL/2023 Season/Summer Season_Week 9_6_3,2023-08-03 06:47:00,13.14,32.0,Dplus KIA Challengers,Nongshim Esports Academy,0,Jax,Lee Sin,LeBlanc,Zeri,Rakan,Gragas,Viego,Neeko,Ezreal,Rell,7,15,56883,61227,0,4,0,2,5,8,Tristana,Vi,Xayah,Sejuani,Poppy,Kai'Sa,Renekton,Alistar,Ashe,Varus,Thanatos (Park Seung-kyu),Mihile,Lucid (Choi Yong-hyeok),Sounda,Pullbae,Callme,Rahel,vital,Thumb,HH (Lee Hyun-ho)
LCK CL/2023 Season/Summer Season_Week 9_7_2,2023-08-03 06:00:00,13.14,28.2,Gen.G Global Academy,OKSavingsBank BRION Challengers,0,Jayce,Poppy,Xerath,Xayah,Rakan,Rumble,Nocturne,Azir,Ezreal,Rell,7,13,46875,53287,1,3,0,1,2,11,Tristana,Jax,Maokai,Sejuani,LeBlanc,Kai'Sa,Karma,Neeko,Viego,Vi,Casting,Kangin,Winner (Woo Joo-sung),DDoiV,Ophelia,Ivory,Carfe,Enosh,Lospa,Pollu
LCK CL/2023 Season/Summer Season_Week 9_8_2,2023-08-03 05:57:00,13.14,26.65,Hanwha Life Esports Challengers,Kwangdong Freecs Challengers,0,K'Sante,Vi,Azir,Kai'Sa,Rell,Aatrox,Maokai,Jayce,Senna,Tahm Kench,9,16,43004,53777,0,3,0,1,1,8,Poppy,Sejuani,Yone,LeBlanc,Rumble,Nocturne,Nilah,Renekton,Xayah,Ahri,Rooster,IlllIma,Guwon,Pressure,Roamer,Cleaver,Lure (Shin Jae-yoon),Bull,Duro,Moham
LCK CL/2023 Season/Summer Season_Week 9_6_2,2023-08-03 05:53:00,13.14,31.8,Nongshim Esports Academy,Dplus KIA Challengers,1,Gnar,Lillia,Jayce,Xayah,Rakan,Renekton,Maokai,Azir,Zeri,Nautilus,12,6,65933,55497,3,2,1,0,11,2,Vi,Tristana,Poppy,Sejuani,Lee Sin,Kai'Sa,Varus,Jax,Ashe,None,Mihile,Thanatos (Park Seung-kyu),Sounda,Lucid (Choi Yong-hyeok),Callme,Pullbae,vital,Rahel,HH (Lee Hyun-ho),Thumb
